Wall time,Step,Value
1519514459.7177732,844,0.8125
1519514461.0405536,846,0.8125
1519514461.7105014,847,0.75
1519514462.3926694,848,0.90625
1519514463.045371,849,0.9375
1519514464.4438796,851,0.90625
1519514465.1151385,852,0.90625
1519514465.7975702,853,0.78125
1519514466.4664798,854,0.90625
1519514467.8065782,856,0.875
1519514469.1227705,858,0.84375
1519514470.4369063,860,0.8125
1519514471.0999808,861,0.8125
1519514471.7572436,862,0.9375
1519514472.42788,863,0.90625
1519514473.0852318,864,0.90625
1519514475.7358708,868,0.90625
1519514476.4112458,869,0.96875
1519514477.0840888,870,0.9375
1519514477.7510037,871,0.90625
1519514478.4186606,872,0.875
1519514479.7772481,874,0.9375
1519514480.4356484,875,0.875
1519514481.0956972,876,0.90625
1519514481.77425,877,0.84375
1519514482.4344876,878,0.84375
1519514483.0945156,879,0.9375
1519514483.7506309,880,0.9375
1519514484.419332,881,0.96875
1519514485.098304,882,0.84375
1519514485.7822807,883,1.0
1519514487.1176434,885,0.9375
1519514487.7710698,886,0.96875
1519514488.43437,887,0.96875
1519514489.1071005,888,0.9375
1519514489.7837517,889,0.875
1519514490.4430072,890,0.96875
1519514491.100098,891,0.78125
1519514491.7785614,892,0.96875
1519514492.440077,893,0.90625
1519514493.1215997,894,0.96875
1519514493.7870364,895,0.9375
1519514494.461707,896,0.9375
1519514495.1145265,897,0.9375
1519514495.829277,898,0.875
1519514496.4874105,899,0.875
1519514496.8883116,900,0.9411764740943909
1519514500.8714063,901,0.90625
1519514502.2178066,903,0.96875
1519514502.8787522,904,0.84375
1519514503.549399,905,0.875
1519514504.2189748,906,0.90625
1519514504.8911026,907,0.84375
1519514505.572876,908,0.875
1519514506.2294476,909,0.96875
1519514506.8979945,910,0.90625
1519514507.5584528,911,0.84375
1519514508.229487,912,0.9375
1519514508.9047127,913,0.9375
1519514509.5753584,914,0.90625
1519514510.904702,916,0.84375
1519514511.5698757,917,0.875
1519514512.240184,918,0.9375
1519514512.90807,919,0.84375
1519514514.2477105,921,0.9375
1519514514.9162068,922,0.84375
1519514515.584853,923,0.90625
1519514516.2496464,924,0.875
1519514516.9147015,925,0.875
1519514517.6426134,926,0.8125
1519514518.9807382,928,0.9375
1519514519.6479225,929,1.0
1519514521.019968,931,0.875
1519514521.6828346,932,0.96875
1519514522.3414173,933,0.90625
1519514523.0214653,934,0.90625
1519514523.7078788,935,0.90625
1519514524.381872,936,0.9375
1519514525.6911223,938,0.875
1519514527.017881,940,1.0
1519514528.4305046,942,0.8125
1519514529.079013,943,1.0
1519514529.740981,944,0.96875
1519514530.4121113,945,0.9375
1519514531.080729,946,0.96875
1519514532.4014606,948,0.90625
1519514533.0595236,949,0.9375
1519514533.743288,950,0.96875
1519514535.0717053,952,0.90625
1519514535.7334478,953,0.9375
1519514536.4165778,954,0.9375
1519514537.0734406,955,0.96875
1519514538.3948927,957,0.96875
1519514539.064598,958,0.9375
1519514539.7215002,959,0.9375
1519514540.1203372,960,1.0
1519514545.1486373,961,0.84375
1519514545.8146572,962,0.9375
1519514546.49035,963,0.90625
1519514547.1678743,964,0.75
1519514547.8306522,965,0.75
1519514548.5034454,966,0.96875
1519514549.1680734,967,0.71875
1519514549.8443155,968,0.9375
1519514551.1645827,970,0.90625
1519514552.4918506,972,0.875
1519514553.1594763,973,0.875
1519514554.4873483,975,0.875
1519514555.1406934,976,0.875
1519514555.8114035,977,0.875
1519514556.4778662,978,0.90625
1519514557.1414297,979,0.90625
1519514557.8129659,980,0.84375
1519514558.4811597,981,0.90625
1519514559.1432216,982,0.90625
1519514559.8233488,983,0.9375
1519514560.4800277,984,0.84375
1519514561.1369777,985,0.90625
1519514561.8235927,986,0.90625
1519514563.1754127,988,0.9375
1519514563.8487563,989,1.0
1519514564.5010235,990,0.9375
1519514565.1849937,991,0.90625
1519514565.8544464,992,0.90625
1519514566.509381,993,0.9375
1519514567.8204994,995,0.90625
1519514569.150369,997,0.90625
1519514569.821536,998,0.875
1519514571.1485062,1000,0.9375
1519514571.8176546,1001,1.0
1519514572.473653,1002,0.84375
1519514573.1334608,1003,0.96875
1519514573.7885094,1004,0.90625
1519514574.444364,1005,0.9375
1519514575.1474824,1006,0.96875
1519514576.5239875,1008,0.875
1519514577.1771338,1009,0.90625
1519514577.838839,1010,0.9375
1519514579.159331,1012,0.96875
1519514579.830612,1013,0.875
1519514580.4838932,1014,1.0
1519514581.1539202,1015,0.96875
1519514582.4804227,1017,0.9375
1519514583.1564078,1018,0.9375
1519514583.8260884,1019,0.9375
1519514584.2286806,1020,0.9411764740943909
1519514588.8766086,1022,0.9375
1519514589.5758204,1023,0.96875
1519514590.249052,1024,0.8125
1519514590.935175,1025,0.84375
1519514591.5906332,1026,0.8125
1519514592.2639978,1027,0.75
1519514592.918511,1028,0.9375
1519514594.2324119,1030,0.96875
1519514594.8983736,1031,0.9375
1519514595.551997,1032,0.96875
1519514596.2205875,1033,0.96875
1519514596.8837283,1034,0.96875
1519514597.5488667,1035,0.90625
1519514598.2157004,1036,0.9375
1519514598.874392,1037,0.9375
1519514599.5323594,1038,0.90625
1519514600.1893518,1039,0.90625
1519514600.8565176,1040,0.9375
1519514601.5233977,1041,0.96875
1519514602.1772041,1042,0.9375
1519514602.8456893,1043,0.9375
1519514603.502051,1044,0.84375
1519514604.1713314,1045,0.875
1519514604.8388286,1046,0.9375
1519514606.1705263,1048,0.9375
1519514606.8426363,1049,0.9375
1519514607.506833,1050,0.875
1519514608.1752841,1051,0.8125
1519514608.8395786,1052,0.90625
1519514609.5030992,1053,0.96875
1519514610.8261366,1055,0.9375
1519514611.4848156,1056,0.96875
1519514612.1525693,1057,0.8125
1519514612.8186817,1058,0.9375
1519514613.4730194,1059,0.96875
